Asset,DateTime,Price_Close,03_01,03_02,03_03,03_04,03_05,03_06,03_07,03_08,03_09,03_10,03_11,03_12,01_01,01_02,01_03,01_04,01_05,01_06,01_07,01_08,01_09,01_10,01_11,01_12
XAU/USD,12/9/2014 17:00,1230.96,-4.78E-05,-0.005765852,-0.005643342,-0.005542626,-0.008984016,-0.009003961,-0.008870461,-0.008783541,-0.002161838,0.009587426,-0.001307336,-0.000116829,-4.79E-05,-0.005745781,-0.00571443,-0.005648705,-0.009079664,-0.009119391,-0.009144077,-0.009053908,0.006793699,0.009582803,-0.001349825,-0.000118661
XAU/USD,12/10/2014 17:00,1225.98,-0.001805951,-0.001807622,-0.001787826,-0.001755829,-0.001747525,-0.001751419,-0.001737445,-0.00172036,-0.001059682,-0.001705216,-0.001758555,-0.001784644,-0.001813291,-0.001801311,-0.001791454,-0.00177079,-0.001766198,-0.001773954,-0.001778773,-0.001769175,-0.001728136,-0.0017044,-0.001816244,-0.001816663
XAU/USD,12/11/2014 17:00,1227.78,-0.006492834,-0.006521482,-0.00644962,-0.006333485,-0.007176353,-0.00719245,-0.003860908,-0.007064065,-0.004172697,-0.003744561,-0.007181849,-0.006415756,-0.006519388,-0.006498571,-0.006462788,-0.006387783,-0.00725355,-0.007285618,-0.00395312,-0.00726586,-0.002189224,-0.003742764,-0.00741908,-0.00653159
XAU/USD,12/12/2014 17:00,1222.15,0.002868073,0.004058151,0.002856929,0.002805242,0.002807529,0.003952424,0.001465938,0.000850995,0.002443329,0.001959697,0.001480321,0.00301076,0.00287986,0.004043839,0.002862791,0.002829407,0.002837883,0.004003829,0.001501181,0.000875541,0.003787628,0.001958751,0.001529578,0.004053043
XAU/USD,12/15/2014 17:00,1192.86,-0.010709234,-0.010788538,-0.010667608,-0.010474545,-0.010474197,-0.010499549,-0.010376939,-0.010306212,-0.010132223,-0.009978158,-0.004253201,0,-0.010753261,-0.010750483,-0.010689502,-0.010564805,-0.010587478,-0.010636136,-0.010626302,-0.010602799,-0.010105025,-0.009973343,0.002048253,-0.010774956
XAU/USD,12/16/2014 17:00,1196.81,0.001490412,0.001501796,0.001484438,0.001456753,0.001456703,0.001460337,0.001442767,0.001432638,0.001443081,0.001385709,0,0,0.001496731,0.001496332,0.00148758,0.001469692,0.001472944,0.001479923,0.001478512,0.001475141,0.001538277,0.001385021,-0.005833075,0.004865742
XAU/USD,12/17/2014 17:00,1189.05,0.000137082,0.001212212,0.002660372,-0.000878037,0.002611798,-0.002795096,0.002591474,-0.002743385,0.002972165,0.000254286,0,0,0.003200943,0.005338211,0.002665871,0.001086835,0.002640246,-0.002831634,0.002654193,-0.002822716,0.003713694,0.003224074,0.003197971,0.002908044
XAU/USD,12/18/2014 17:00,1198.02,0,0,-0.003591864,0,-0.003751618,0.003252208,-0.00372235,0.003191654,0.003213355,0,0,0,-0.003847566,-0.003914599,-0.003828817,-0.004278764,-0.003792235,0.003295004,-0.003811894,0.003284557,0.003191627,-0.003569445,-0.003841494,-0.003826079
XAU/USD,12/19/2014 17:00,1194.73,0,0,0,0,-0.001204898,-0.001183834,-0.001195459,-0.001161954,-0.001041465,0,0,0,-0.001236531,-0.00123193,-0.001229801,-0.0012172,-0.001218,-0.001199293,-0.001224342,-0.00119552,-0.000907836,-0.001147116,-0.001234571,-0.001233609
XAU/USD,12/22/2014 17:00,1175.35,0,0,0,0,-0.004926074,-0.005031791,-0.003054288,-0.006811475,0,0,0,0,-0.002756608,-0.00274612,-0.002741602,-0.003108767,-0.002715287,-0.003028802,-0.003128153,-0.007009189,0.001835846,-0.002557226,-0.002752237,-0.002750094
XAU/USD,12/23/2014 17:00,1176.2,0,0,0,0,0,0,-0.00329207,-0.000310569,-0.004589689,-0.002806219,-0.002923262,-0.0031338,-0.003403663,-0.003391266,-0.003385033,-0.000316163,-0.002115982,-0.000316695,-0.003372094,-0.000319479,-0.003957717,-0.003156228,-0.003398237,-0.004277427
XAU/USD,12/24/2014 17:00,1173.63,0,0,0,0,0,0,0.000759612,0.000955336,0.002109854,0,0.000956362,0.002485065,0.002562721,0.002553362,0.002548657,0.000972853,0.000978115,0.000974522,0.002538266,0.000983244,0.002090254,0.000921793,0.000992785,0.002558107
